date,num
28.05.2011,0
29.05.2011,0
30.05.2011,0
31.05.2011,188150
01.06.2011,240
02.06.2011,0
03.06.2011,0
04.06.2011,0
05.06.2011,0
06.06.2011,0
07.06.2011,0
08.06.2011,0
09.06.2011,0
10.06.2011,0
11.06.2011,212530
12.06.2011,381349
13.06.2011,381429
14.06.2011,381429
15.06.2011,94
16.06.2011,241150
17.06.2011,379215
18.06.2011,381575
19.06.2011,381575
20.06.2011,381575
21.06.2011,381575
22.06.2011,381600
23.06.2011,381575
24.06.2011,381600
25.06.2011,381600
26.06.2011,381600
27.06.2011,381600
28.06.2011,381600
29.06.2011,381429
30.06.2011,381429
01.07.2011,346184
02.07.2011,381575
03.07.2011,381575
04.07.2011,381575
05.07.2011,381429
06.07.2011,381575
07.07.2011,381575
08.07.2011,381404
09.07.2011,381310
10.07.2011,381310
11.07.2011,381310
12.07.2011,381310
13.07.2011,381310
14.07.2011,381310
15.07.2011,381310
16.07.2011,381310
17.07.2011,381335
18.07.2011,381310
19.07.2011,381335
20.07.2011,381335
21.07.2011,381335
22.07.2011,381335
23.07.2011,381335
24.07.2011,381335
25.07.2011,381335
26.07.2011,381335
27.07.2011,381335
28.07.2011,381335
29.07.2011,381335
30.07.2011,381335
31.07.2011,381335
01.08.2011,381335
02.08.2011,381335
03.08.2011,381335
04.08.2011,381335
05.08.2011,381335
06.08.2011,381349
07.08.2011,381070
08.08.2011,381070
09.08.2011,381070
10.08.2011,381077
11.08.2011,381084
12.08.2011,381070
13.08.2011,381070
14.08.2011,381070
15.08.2011,381084
16.08.2011,381070
17.08.2011,381070
18.08.2011,381084
19.08.2011,381070
20.08.2011,381164
21.08.2011,381084
22.08.2011,381164
23.08.2011,381084
24.08.2011,381084
25.08.2011,381084
26.08.2011,381164
27.08.2011,381164
28.08.2011,381164
29.08.2011,381164
30.08.2011,381296
31.08.2011,381164
01.09.2011,381164
02.09.2011,381164
03.09.2011,381164
04.09.2011,381164
05.09.2011,381164
06.09.2011,381164
07.09.2011,381310
08.09.2011,381070
09.09.2011,381070
10.09.2011,381070
11.09.2011,381070
12.09.2011,381070
13.09.2011,381070
14.09.2011,381070
15.09.2011,381070
16.09.2011,381070
17.09.2011,381070
18.09.2011,381070
19.09.2011,381070
20.09.2011,381070
21.09.2011,381084
22.09.2011,380805
23.09.2011,381429
24.09.2011,381349
25.09.2011,381335
26.09.2011,381335
27.09.2011,381335
28.09.2011,381429
29.09.2011,381429
30.09.2011,381429
01.10.2011,381335
02.10.2011,381429
03.10.2011,381349
04.10.2011,381429
05.10.2011,381415
06.10.2011,381422
07.10.2011,381429
08.10.2011,381429
09.10.2011,381429
10.10.2011,381429
11.10.2011,381415
12.10.2011,381575
13.10.2011,381415
14.10.2011,381575
15.10.2011,381429
16.10.2011,381429
17.10.2011,381415
18.10.2011,381561
19.10.2011,381575
20.10.2011,381415
21.10.2011,381561
22.10.2011,381575
23.10.2011,381429
24.10.2011,381429
25.10.2011,381415
26.10.2011,381575
27.10.2011,381415
28.10.2011,381575
29.10.2011,381575
30.10.2011,380369
31.10.2011,381031
01.11.2011,381561
02.11.2011,375201
03.11.2011,380899
04.11.2011,380819
05.11.2011,380899
06.11.2011,380369
07.11.2011,380289
08.11.2011,379574
09.11.2011,240
10.11.2011,134885
11.11.2011,380261
12.11.2011,376579
13.11.2011,377639
14.11.2011,376924
15.11.2011,377360
16.11.2011,381575
17.11.2011,381575
18.11.2011,381575
19.11.2011,381575
20.11.2011,381600
21.11.2011,381600
22.11.2011,381600
23.11.2011,381600
24.11.2011,381600
25.11.2011,381600
26.11.2011,381045
27.11.2011,381335
28.11.2011,348740
